close,high,low,open,time,volumefrom,volumeto,timestamp
0.06097,0.06102,0.06094,0.06101,1521995400,226.26,13.79,2018-03-25 09:30:00
0.06096,0.06099,0.06094,0.06096,1521995460,291.73,17.78,2018-03-25 09:31:00
0.06098,0.06101,0.06095,0.06096,1521995520,229.99,14.03,2018-03-25 09:32:00
0.06099,0.061,0.06095,0.06098,1521995580,229.37,13.98,2018-03-25 09:33:00
0.061,0.06102,0.06094,0.06099,1521995640,183.79,11.21,2018-03-25 09:34:00
0.06097,0.06102,0.06096,0.061,1521995700,597.8,36.5,2018-03-25 09:35:00
0.06099,0.06102,0.06094,0.06097,1521995760,389.39,23.76,2018-03-25 09:36:00
0.06095,0.06101,0.06094,0.06099,1521995820,536.03,32.71,2018-03-25 09:37:00
0.06095,0.061,0.06094,0.06095,1521995880,218.58,13.32,2018-03-25 09:38:00
0.061,0.06101,0.06095,0.06095,1521995940,427.15,26.07,2018-03-25 09:39:00
0.06102,0.06104,0.06096,0.061,1521996000,646.73,39.56,2018-03-25 09:40:00
0.06104,0.06105,0.06101,0.06102,1521996060,370.23,22.62,2018-03-25 09:41:00
0.06105,0.06107,0.06102,0.06104,1521996120,233.41,14.27,2018-03-25 09:42:00
0.06106,0.06107,0.06102,0.06105,1521996180,267.04,16.32,2018-03-25 09:43:00
0.06107,0.0611,0.06104,0.06108,1521996240,351.77,21.49,2018-03-25 09:44:00
0.06098,0.06108,0.06098,0.06107,1521996300,345.17,21.07,2018-03-25 09:45:00
0.06105,0.06105,0.06097,0.06098,1521996360,326.6,19.96,2018-03-25 09:46:00
0.06104,0.06107,0.06102,0.06104,1521996420,289.53,17.69,2018-03-25 09:47:00
0.06107,0.06108,0.06103,0.06103,1521996480,325.09,19.85,2018-03-25 09:48:00
0.06107,0.06108,0.06105,0.06107,1521996540,299.51,18.3,2018-03-25 09:49:00
0.06109,0.06109,0.06105,0.06107,1521996600,334.76,20.45,2018-03-25 09:50:00
0.06108,0.0611,0.06106,0.06107,1521996660,309.23,18.89,2018-03-25 09:51:00
0.06108,0.06109,0.06106,0.06108,1521996720,415.42,25.38,2018-03-25 09:52:00
0.06107,0.0611,0.06105,0.06109,1521996780,187.86,11.48,2018-03-25 09:53:00
0.0611,0.0611,0.06108,0.06108,1521996840,273.78,16.73,2018-03-25 09:54:00
0.06109,0.06109,0.06106,0.06107,1521996900,282.13,17.24,2018-03-25 09:55:00
0.06105,0.0611,0.06105,0.06109,1521996960,187.29,11.43,2018-03-25 09:56:00
0.06109,0.06109,0.06106,0.06108,1521997020,270.52,16.53,2018-03-25 09:57:00
0.06109,0.0611,0.06106,0.06108,1521997080,222.59,13.59,2018-03-25 09:58:00
0.06107,0.06109,0.06105,0.06108,1521997140,160.69,9.81,2018-03-25 09:59:00
0.0611,0.06111,0.06107,0.06109,1521997200,375.75,22.94,2018-03-25 10:00:00
0.06106,0.06111,0.06106,0.0611,1521997260,278.38,16.99,2018-03-25 10:01:00
0.06105,0.06108,0.06104,0.06105,1521997320,309.51,18.89,2018-03-25 10:02:00
0.06105,0.06107,0.06105,0.06105,1521997380,370.96,22.66,2018-03-25 10:03:00
0.06108,0.06109,0.06105,0.06105,1521997440,129.27,7.89,2018-03-25 10:04:00
0.06107,0.0611,0.06106,0.06109,1521997500,296.89,18.14,2018-03-25 10:05:00
0.06106,0.06109,0.06106,0.06107,1521997560,388.66,23.74,2018-03-25 10:06:00
0.06107,0.06108,0.06104,0.06106,1521997620,172.61,10.53,2018-03-25 10:07:00
0.06105,0.06108,0.06103,0.06107,1521997680,215.45,13.16,2018-03-25 10:08:00
0.06108,0.06111,0.06105,0.06105,1521997740,469.28,28.66,2018-03-25 10:09:00
0.06106,0.06109,0.06104,0.06108,1521997800,233.06,14.23,2018-03-25 10:10:00
0.06108,0.06109,0.06106,0.06106,1521997860,499.65,30.51,2018-03-25 10:11:00
0.06107,0.06109,0.06106,0.06108,1521997920,229.3,14.0,2018-03-25 10:12:00
0.06105,0.06107,0.06103,0.06107,1521997980,312.44,19.09,2018-03-25 10:13:00
0.06106,0.06108,0.06104,0.06105,1521998040,317.57,19.39,2018-03-25 10:14:00
0.06104,0.06107,0.06103,0.06107,1521998100,191.0,11.66,2018-03-25 10:15:00
0.06104,0.06106,0.06103,0.06103,1521998160,237.89,14.53,2018-03-25 10:16:00
0.06104,0.06106,0.06103,0.06104,1521998220,234.4,14.31,2018-03-25 10:17:00
0.06106,0.06108,0.06103,0.06104,1521998280,211.55,12.92,2018-03-25 10:18:00
0.06105,0.06107,0.06105,0.06107,1521998340,254.12,15.54,2018-03-25 10:19:00
0.06106,0.06108,0.06105,0.06105,1521998400,133.21,8.14,2018-03-25 10:20:00
0.06106,0.06108,0.06105,0.06107,1521998460,232.39,14.2,2018-03-25 10:21:00
0.06109,0.0611,0.06106,0.06107,1521998520,355.86,21.74,2018-03-25 10:22:00
0.06105,0.06109,0.06104,0.06109,1521998580,257.99,15.76,2018-03-25 10:23:00
0.06107,0.06107,0.06104,0.06105,1521998640,233.93,14.28,2018-03-25 10:24:00
0.06108,0.06108,0.06104,0.06107,1521998700,272.75,16.66,2018-03-25 10:25:00
0.06107,0.0611,0.06106,0.06108,1521998760,272.53,16.65,2018-03-25 10:26:00
0.06105,0.06108,0.06105,0.06108,1521998820,357.66,21.85,2018-03-25 10:27:00
0.06108,0.06109,0.06105,0.06106,1521998880,266.27,16.26,2018-03-25 10:28:00
0.06108,0.06111,0.06107,0.06108,1521998940,299.85,18.32,2018-03-25 10:29:00
0.06108,0.06111,0.06107,0.06108,1521999000,399.24,24.39,2018-03-25 10:30:00
0.06107,0.06109,0.06105,0.06108,1521999060,297.09,18.15,2018-03-25 10:31:00
