close,high,low,open,time,volumefrom,volumeto,timestamp
0.0187,0.0187,0.01869,0.01869,1521995400,141.98,2.65,2018-03-25 09:30:00
0.01869,0.0187,0.01869,0.0187,1521995460,128.78,2.41,2018-03-25 09:31:00
0.0187,0.01871,0.01869,0.01869,1521995520,206.43,3.86,2018-03-25 09:32:00
0.0187,0.01871,0.0187,0.0187,1521995580,119.31,2.23,2018-03-25 09:33:00
0.0187,0.0187,0.01869,0.0187,1521995640,173.06,3.23,2018-03-25 09:34:00
0.01871,0.01871,0.01869,0.0187,1521995700,195.3,3.65,2018-03-25 09:35:00
0.01871,0.01871,0.0187,0.01871,1521995760,117.42,2.2,2018-03-25 09:36:00
0.01871,0.01871,0.01871,0.01871,1521995820,223.39,4.18,2018-03-25 09:37:00
0.01871,0.01871,0.01871,0.01871,1521995880,153.7,2.88,2018-03-25 09:38:00
0.0187,0.01871,0.0187,0.01871,1521995940,303.52,5.67,2018-03-25 09:39:00
0.01871,0.01871,0.0187,0.0187,1521996000,251.13,4.7,2018-03-25 09:40:00
0.0187,0.01871,0.0187,0.01871,1521996060,229.07,4.28,2018-03-25 09:41:00
0.0187,0.01871,0.0187,0.0187,1521996120,166.45,3.11,2018-03-25 09:42:00
0.0187,0.01871,0.0187,0.0187,1521996180,209.0,3.91,2018-03-25 09:43:00
0.0187,0.0187,0.0187,0.0187,1521996240,124.25,2.32,2018-03-25 09:44:00
0.01869,0.01869,0.01869,0.01869,1521996300,219.16,4.1,2018-03-25 09:45:00
0.01869,0.01869,0.01869,0.01869,1521996360,295.48,5.52,2018-03-25 09:46:00
0.01869,0.01869,0.01869,0.01869,1521996420,133.75,2.5,2018-03-25 09:47:00
0.01869,0.01869,0.01869,0.01869,1521996480,130.15,2.43,2018-03-25 09:48:00
0.01869,0.0187,0.01869,0.01869,1521996540,84.2,1.57,2018-03-25 09:49:00
0.0187,0.0187,0.01869,0.0187,1521996600,88.23,1.65,2018-03-25 09:50:00
0.0187,0.0187,0.0187,0.0187,1521996660,137.14,2.56,2018-03-25 09:51:00
0.0187,0.0187,0.0187,0.0187,1521996720,169.66,3.17,2018-03-25 09:52:00
0.01869,0.0187,0.01869,0.0187,1521996780,129.38,2.42,2018-03-25 09:53:00
0.0187,0.0187,0.01868,0.01869,1521996840,170.05,3.18,2018-03-25 09:54:00
0.0187,0.0187,0.01869,0.0187,1521996900,126.58,2.37,2018-03-25 09:55:00
0.01871,0.01871,0.0187,0.0187,1521996960,134.95,2.52,2018-03-25 09:56:00
0.01871,0.01872,0.01871,0.01871,1521997020,252.3,4.72,2018-03-25 09:57:00
0.01871,0.01871,0.01871,0.01871,1521997080,120.57,2.26,2018-03-25 09:58:00
0.01871,0.01871,0.0187,0.01871,1521997140,184.81,3.44,2018-03-25 09:59:00
0.01871,0.01871,0.01871,0.01871,1521997200,240.04,4.47,2018-03-25 10:00:00
0.01871,0.01872,0.01871,0.01871,1521997260,140.94,2.64,2018-03-25 10:01:00
0.01873,0.01873,0.01872,0.01872,1521997320,153.71,2.88,2018-03-25 10:02:00
0.01873,0.01873,0.01873,0.01873,1521997380,238.0,4.46,2018-03-25 10:03:00
0.01873,0.01873,0.01873,0.01873,1521997440,179.32,3.36,2018-03-25 10:04:00
0.01874,0.01874,0.01873,0.01873,1521997500,173.31,3.25,2018-03-25 10:05:00
0.01873,0.01874,0.01873,0.01874,1521997560,230.58,4.31,2018-03-25 10:06:00
0.01874,0.01874,0.01873,0.01873,1521997620,197.67,3.71,2018-03-25 10:07:00
0.01874,0.01874,0.01873,0.01873,1521997680,193.1,3.62,2018-03-25 10:08:00
0.01875,0.01875,0.01873,0.01874,1521997740,272.47,5.11,2018-03-25 10:09:00
0.01874,0.01875,0.01874,0.01875,1521997800,256.55,4.81,2018-03-25 10:10:00
0.01874,0.01874,0.01874,0.01874,1521997860,305.29,5.71,2018-03-25 10:11:00
0.01875,0.01875,0.01874,0.01874,1521997920,176.95,3.32,2018-03-25 10:12:00
0.01874,0.01875,0.01874,0.01875,1521997980,344.81,6.46,2018-03-25 10:13:00
0.01874,0.01875,0.01874,0.01875,1521998040,247.57,4.64,2018-03-25 10:14:00
0.01874,0.01874,0.01874,0.01874,1521998100,198.23,3.7,2018-03-25 10:15:00
0.01874,0.01874,0.01874,0.01874,1521998160,181.78,3.41,2018-03-25 10:16:00
0.01874,0.01874,0.01873,0.01874,1521998220,396.08,7.43,2018-03-25 10:17:00
0.01875,0.01875,0.01874,0.01875,1521998280,120.24,2.25,2018-03-25 10:18:00
0.01876,0.01876,0.01875,0.01875,1521998340,289.39,5.43,2018-03-25 10:19:00
0.01874,0.01876,0.01874,0.01876,1521998400,177.38,3.33,2018-03-25 10:20:00
0.01875,0.01875,0.01874,0.01874,1521998460,179.11,3.36,2018-03-25 10:21:00
0.01874,0.01874,0.01873,0.01874,1521998520,487.44,9.09,2018-03-25 10:22:00
0.01874,0.01874,0.01873,0.01874,1521998580,138.31,2.59,2018-03-25 10:23:00
0.01874,0.01875,0.01874,0.01874,1521998640,189.42,3.55,2018-03-25 10:24:00
0.01874,0.01874,0.01874,0.01874,1521998700,236.17,4.43,2018-03-25 10:25:00
0.01875,0.01876,0.01874,0.01874,1521998760,187.16,3.51,2018-03-25 10:26:00
0.01874,0.01875,0.01874,0.01875,1521998820,243.12,4.56,2018-03-25 10:27:00
0.01875,0.01875,0.01874,0.01874,1521998880,115.16,2.16,2018-03-25 10:28:00
0.01874,0.01875,0.01874,0.01875,1521998940,95.61,1.79,2018-03-25 10:29:00
0.01875,0.01875,0.01874,0.01874,1521999000,350.44,6.57,2018-03-25 10:30:00
0.01875,0.01875,0.01874,0.01875,1521999060,421.31,7.9,2018-03-25 10:31:00
0.01875,0.01876,0.01875,0.01875,1521999120,355.83,6.67,2018-03-25 10:32:00
0.01874,0.01876,0.01874,0.01875,1521999180,182.92,3.42,2018-03-25 10:33:00
0.01875,0.01876,0.01875,0.01875,1521999240,125.86,2.36,2018-03-25 10:34:00
0.01875,0.01876,0.01875,0.01876,1521999300,185.14,3.47,2018-03-25 10:35:00
0.01875,0.01876,0.01875,0.01875,1521999360,110.4,2.07,2018-03-25 10:36:00
0.01875,0.01875,0.01875,0.01875,1521999420,132.28,2.48,2018-03-25 10:37:00
0.01875,0.01875,0.01874,0.01875,1521999480,236.18,4.43,2018-03-25 10:38:00
0.01875,0.01876,0.01874,0.01875,1521999540,267.28,5.01,2018-03-25 10:39:00
0.01875,0.01875,0.01874,0.01874,1521999600,107.29,2.01,2018-03-25 10:40:00
0.01874,0.01875,0.01874,0.01875,1521999660,251.73,4.72,2018-03-25 10:41:00
0.01874,0.01875,0.01874,0.01874,1521999720,137.2,2.57,2018-03-25 10:42:00
0.01875,0.01876,0.01874,0.01874,1521999780,232.02,4.35,2018-03-25 10:43:00
0.01874,0.01875,0.01874,0.01875,1521999840,144.47,2.71,2018-03-25 10:44:00
0.01874,0.01875,0.01874,0.01874,1521999900,88.71,1.66,2018-03-25 10:45:00
0.01875,0.01876,0.01875,0.01875,1521999960,425.44,7.98,2018-03-25 10:46:00
0.01877,0.01877,0.01874,0.01875,1522000020,449.57,8.45,2018-03-25 10:47:00
0.01878,0.01879,0.01877,0.01877,1522000080,499.64,9.39,2018-03-25 10:48:00
0.01878,0.01879,0.01877,0.01878,1522000140,273.29,5.13,2018-03-25 10:49:00
0.01877,0.01879,0.01876,0.01879,1522000200,108.89,2.04,2018-03-25 10:50:00
0.01876,0.01877,0.01876,0.01877,1522000260,169.36,3.18,2018-03-25 10:51:00
0.01877,0.01877,0.01876,0.01876,1522000320,271.64,5.1,2018-03-25 10:52:00
0.01878,0.01878,0.01877,0.01877,1522000380,253.09,4.75,2018-03-25 10:53:00
0.01877,0.01877,0.01876,0.01877,1522000440,339.46,6.38,2018-03-25 10:54:00
0.01878,0.01878,0.01877,0.01877,1522000500,210.64,3.95,2018-03-25 10:55:00
0.01878,0.01878,0.01878,0.01878,1522000560,342.59,6.43,2018-03-25 10:56:00
0.01877,0.01878,0.01877,0.01878,1522000620,284.64,5.34,2018-03-25 10:57:00
0.01878,0.01879,0.01877,0.01877,1522000680,167.59,3.15,2018-03-25 10:58:00
0.01878,0.01878,0.01878,0.01878,1522000740,195.01,3.66,2018-03-25 10:59:00
0.01879,0.01879,0.01878,0.01878,1522000800,573.3,10.75,2018-03-25 11:00:00
0.01879,0.0188,0.01879,0.01879,1522000860,278.27,5.22,2018-03-25 11:01:00
0.01878,0.01879,0.01878,0.01879,1522000920,440.12,8.26,2018-03-25 11:02:00
0.01876,0.01878,0.01876,0.01878,1522000980,503.29,9.44,2018-03-25 11:03:00
0.01877,0.01877,0.01876,0.01876,1522001040,307.31,5.77,2018-03-25 11:04:00
0.01875,0.01877,0.01875,0.01877,1522001100,111.18,2.08,2018-03-25 11:05:00
0.01874,0.01875,0.01874,0.01875,1522001160,163.25,3.06,2018-03-25 11:06:00
0.01873,0.01874,0.01873,0.01874,1522001220,311.05,5.83,2018-03-25 11:07:00
0.01873,0.01874,0.01873,0.01874,1522001280,136.06,2.55,2018-03-25 11:08:00
0.01873,0.01873,0.01873,0.01873,1522001340,184.37,3.45,2018-03-25 11:09:00
0.01873,0.01873,0.01873,0.01873,1522001400,391.36,7.33,2018-03-25 11:10:00
0.01873,0.01873,0.01873,0.01873,1522001460,319.67,5.96,2018-03-25 11:11:00
0.01873,0.01874,0.01873,0.01873,1522001520,89.55,1.68,2018-03-25 11:12:00
0.01873,0.01873,0.01873,0.01873,1522001580,132.51,2.48,2018-03-25 11:13:00
0.01872,0.01873,0.01872,0.01873,1522001640,214.11,4.01,2018-03-25 11:14:00
0.01873,0.01873,0.01872,0.01872,1522001700,230.8,4.32,2018-03-25 11:15:00
0.01873,0.01873,0.01872,0.01873,1522001760,221.6,4.15,2018-03-25 11:16:00
0.01873,0.01873,0.01872,0.01873,1522001820,124.03,2.32,2018-03-25 11:17:00
0.01872,0.01873,0.01872,0.01873,1522001880,193.8,3.63,2018-03-25 11:18:00
0.01873,0.01873,0.01872,0.01872,1522001940,171.04,3.2,2018-03-25 11:19:00
0.01872,0.01873,0.01872,0.01873,1522002000,145.26,2.72,2018-03-25 11:20:00
0.01873,0.01873,0.01872,0.01872,1522002060,292.1,5.47,2018-03-25 11:21:00
0.01872,0.01873,0.01872,0.01873,1522002120,243.06,4.54,2018-03-25 11:22:00
0.01873,0.01873,0.01872,0.01872,1522002180,124.48,2.33,2018-03-25 11:23:00
0.01873,0.01873,0.01872,0.01873,1522002240,153.85,2.88,2018-03-25 11:24:00
0.01873,0.01873,0.01872,0.01873,1522002300,178.04,3.33,2018-03-25 11:25:00
0.01872,0.01873,0.01872,0.01873,1522002360,195.87,3.67,2018-03-25 11:26:00
0.01872,0.01873,0.01872,0.01872,1522002420,251.73,4.71,2018-03-25 11:27:00
0.01873,0.01873,0.01872,0.01872,1522002480,232.99,4.36,2018-03-25 11:28:00
0.01873,0.01873,0.01872,0.01873,1522002540,309.92,5.81,2018-03-25 11:29:00
0.01873,0.01873,0.01872,0.01873,1522002600,144.78,2.71,2018-03-25 11:30:00
0.01873,0.01873,0.01872,0.01873,1522002660,180.32,3.38,2018-03-25 11:31:00
0.01872,0.01873,0.01872,0.01873,1522002720,246.55,4.62,2018-03-25 11:32:00
0.01873,0.01873,0.01872,0.01872,1522002780,208.65,3.91,2018-03-25 11:33:00
0.01873,0.01873,0.01872,0.01873,1522002840,225.71,4.23,2018-03-25 11:34:00
0.01872,0.01873,0.01872,0.01873,1522002900,171.56,3.21,2018-03-25 11:35:00
0.01872,0.01873,0.01872,0.01872,1522002960,96.28,1.8,2018-03-25 11:36:00
0.01871,0.01873,0.01871,0.01872,1522003020,256.35,4.8,2018-03-25 11:37:00
0.01872,0.01873,0.01871,0.01871,1522003080,195.46,3.66,2018-03-25 11:38:00
0.01872,0.01873,0.01871,0.01871,1522003140,104.03,1.95,2018-03-25 11:39:00
0.01873,0.01873,0.01872,0.01872,1522003200,214.83,4.02,2018-03-25 11:40:00
0.01872,0.01873,0.01872,0.01873,1522003260,210.05,3.93,2018-03-25 11:41:00
0.01874,0.01874,0.01872,0.01872,1522003320,165.78,3.11,2018-03-25 11:42:00
0.01872,0.01874,0.01872,0.01874,1522003380,78.04,1.46,2018-03-25 11:43:00
0.01872,0.01873,0.01871,0.01872,1522003440,186.6,3.49,2018-03-25 11:44:00
0.01872,0.01873,0.01872,0.01872,1522003500,190.15,3.56,2018-03-25 11:45:00
0.01872,0.01873,0.01872,0.01872,1522003560,215.99,4.04,2018-03-25 11:46:00
0.01873,0.01874,0.01872,0.01872,1522003620,90.0,1.69,2018-03-25 11:47:00
0.01873,0.01874,0.01873,0.01873,1522003680,105.04,1.96,2018-03-25 11:48:00
0.01873,0.01873,0.01872,0.01873,1522003740,81.07,1.52,2018-03-25 11:49:00
0.01872,0.01873,0.01872,0.01873,1522003800,101.86,1.91,2018-03-25 11:50:00
0.01872,0.01872,0.01871,0.01872,1522003860,110.04,2.06,2018-03-25 11:51:00
0.01872,0.01872,0.01872,0.01872,1522003920,130.17,2.44,2018-03-25 11:52:00
0.01872,0.01873,0.01872,0.01873,1522003980,157.31,2.94,2018-03-25 11:53:00
0.01873,0.01873,0.01872,0.01872,1522004040,184.39,3.46,2018-03-25 11:54:00
0.01872,0.01873,0.01872,0.01873,1522004100,186.23,3.48,2018-03-25 11:55:00
0.01871,0.01872,0.01871,0.01872,1522004160,128.81,2.41,2018-03-25 11:56:00
0.01872,0.01872,0.01871,0.01871,1522004220,191.66,3.59,2018-03-25 11:57:00
0.0187,0.01871,0.0187,0.01871,1522004280,196.24,3.67,2018-03-25 11:58:00
0.01871,0.01871,0.0187,0.01871,1522004340,152.71,2.85,2018-03-25 11:59:00
0.01871,0.01871,0.0187,0.01871,1522004400,604.86,11.3,2018-03-25 12:00:00
0.01871,0.01871,0.0187,0.01871,1522004460,101.63,1.9,2018-03-25 12:01:00
0.01871,0.01872,0.01871,0.01871,1522004520,168.53,3.15,2018-03-25 12:02:00
0.01871,0.01872,0.01871,0.01872,1522004580,132.03,2.47,2018-03-25 12:03:00
0.01872,0.01872,0.01871,0.01872,1522004640,277.21,5.19,2018-03-25 12:04:00
0.01872,0.01872,0.01872,0.01872,1522004700,171.72,3.22,2018-03-25 12:05:00
0.01872,0.01872,0.01871,0.01872,1522004760,139.57,2.61,2018-03-25 12:06:00
0.01873,0.01873,0.01872,0.01873,1522004820,313.78,5.87,2018-03-25 12:07:00
0.01871,0.01873,0.01871,0.01873,1522004880,298.41,5.59,2018-03-25 12:08:00
0.01873,0.01873,0.01873,0.01873,1522004940,103.44,1.94,2018-03-25 12:09:00
0.01873,0.01874,0.01873,0.01873,1522005000,159.61,2.99,2018-03-25 12:10:00
