close,high,low,open,time,volumefrom,volumeto,timestamp
0.02423,0.02425,0.02419,0.02425,1521995400,21.46,0.52,2018-03-25 09:30:00
0.02423,0.02423,0.02423,0.02423,1521995460,9.84,0.2382,2018-03-25 09:31:00
0.02425,0.02425,0.02423,0.02423,1521995520,18.6,0.4504,2018-03-25 09:32:00
0.02422,0.02424,0.02422,0.02424,1521995580,45.78,1.11,2018-03-25 09:33:00
0.02423,0.02424,0.02422,0.02422,1521995640,2.52,0.06097,2018-03-25 09:34:00
0.02427,0.0243,0.02423,0.02423,1521995700,131.09,3.19,2018-03-25 09:35:00
0.02427,0.0243,0.02427,0.02427,1521995760,12.15,0.2952,2018-03-25 09:36:00
0.02427,0.02427,0.02424,0.02427,1521995820,7.43,0.1805,2018-03-25 09:37:00
0.02423,0.02428,0.02417,0.02428,1521995880,138.85,3.36,2018-03-25 09:38:00
0.02423,0.02424,0.02423,0.02423,1521995940,9.05,0.2191,2018-03-25 09:39:00
0.02423,0.02424,0.02423,0.02423,1521996000,70.16,1.7,2018-03-25 09:40:00
0.02422,0.02422,0.02422,0.02422,1521996060,2.59,0.06251,2018-03-25 09:41:00
0.02422,0.02422,0.02422,0.02422,1521996120,3.53,0.0855,2018-03-25 09:42:00
0.0242,0.02423,0.0242,0.02423,1521996180,2.2,0.05334,2018-03-25 09:43:00
0.02423,0.02423,0.0242,0.02421,1521996240,45.36,1.1,2018-03-25 09:44:00
0.0242,0.0242,0.0242,0.0242,1521996300,9.81,0.2376,2018-03-25 09:45:00
0.02422,0.02422,0.0242,0.0242,1521996360,15.63,0.3784,2018-03-25 09:46:00
0.0242,0.0242,0.0242,0.0242,1521996420,18.7,0.4534,2018-03-25 09:47:00
0.02423,0.02428,0.02423,0.02428,1521996480,2.52,0.06104,2018-03-25 09:48:00
0.02422,0.02425,0.02422,0.02425,1521996540,8.36,0.2026,2018-03-25 09:49:00
0.02422,0.02424,0.02422,0.02422,1521996600,5.61,0.1359,2018-03-25 09:50:00
0.02422,0.02423,0.02422,0.02422,1521996660,5.39,0.1306,2018-03-25 09:51:00
0.02422,0.02422,0.02422,0.02422,1521996720,18.97,0.4601,2018-03-25 09:52:00
0.02423,0.02425,0.02423,0.02423,1521996780,5.12,0.1242,2018-03-25 09:53:00
0.02424,0.02424,0.02422,0.02422,1521996840,3.58,0.08688,2018-03-25 09:54:00
0.02428,0.02428,0.02424,0.02424,1521996900,163.93,3.97,2018-03-25 09:55:00
0.02424,0.02425,0.02424,0.02425,1521996960,141.56,3.43,2018-03-25 09:56:00
0.02426,0.02426,0.02423,0.02423,1521997020,294.31,7.13,2018-03-25 09:57:00
0.02424,0.02424,0.0242,0.02424,1521997080,21.82,0.5293,2018-03-25 09:58:00
0.02423,0.02426,0.02421,0.02421,1521997140,44.48,1.08,2018-03-25 09:59:00
0.02422,0.02423,0.02422,0.02423,1521997200,148.52,3.6,2018-03-25 10:00:00
0.02429,0.02429,0.02423,0.02423,1521997260,39.76,0.9653,2018-03-25 10:01:00
0.02426,0.02429,0.02426,0.02426,1521997320,50.78,1.23,2018-03-25 10:02:00
0.02426,0.02429,0.02426,0.02429,1521997380,79.42,1.93,2018-03-25 10:03:00
0.02425,0.02426,0.02425,0.02426,1521997440,66.92,1.62,2018-03-25 10:04:00
0.02425,0.02425,0.02425,0.02425,1521997500,67.72,1.64,2018-03-25 10:05:00
0.02426,0.02427,0.02425,0.02426,1521997560,49.37,1.2,2018-03-25 10:06:00
0.02425,0.02425,0.02425,0.02425,1521997620,15.38,0.3728,2018-03-25 10:07:00
0.02425,0.02426,0.02425,0.02425,1521997680,19.94,0.4833,2018-03-25 10:08:00
0.02425,0.02425,0.02425,0.02425,1521997740,15.03,0.3642,2018-03-25 10:09:00
0.02424,0.02424,0.02424,0.02424,1521997800,17.46,0.4229,2018-03-25 10:10:00
0.02424,0.02424,0.02424,0.02424,1521997860,4.39,0.1067,2018-03-25 10:11:00
0.02424,0.02424,0.02424,0.02424,1521997920,2.65,0.06434,2018-03-25 10:12:00
0.02423,0.02423,0.02418,0.02423,1521997980,50.59,1.23,2018-03-25 10:13:00
0.02425,0.02425,0.02424,0.02424,1521998040,80.61,1.96,2018-03-25 10:14:00
0.02426,0.02426,0.02426,0.02426,1521998100,6.56,0.1595,2018-03-25 10:15:00
0.02428,0.02428,0.02428,0.02428,1521998160,32.19,0.7794,2018-03-25 10:16:00
0.02426,0.02428,0.02426,0.02428,1521998220,3.87,0.094,2018-03-25 10:17:00
0.02427,0.02427,0.02426,0.02426,1521998280,1.36,0.03309,2018-03-25 10:18:00
0.02427,0.02427,0.02427,0.02427,1521998340,4.2,0.1021,2018-03-25 10:19:00
0.02429,0.02429,0.02429,0.02429,1521998400,5.27,0.1281,2018-03-25 10:20:00
0.02429,0.02429,0.02429,0.02429,1521998460,26.22,0.6372,2018-03-25 10:21:00
0.02429,0.02429,0.02429,0.02429,1521998520,45.93,1.12,2018-03-25 10:22:00
0.02429,0.02429,0.02429,0.02429,1521998580,6.63,0.161,2018-03-25 10:23:00
